"co_code","bsecode","nsesymbol","companyname","companyshortname","categoryname","isin","bsegroup","mcap","mcaptype","displaytype","sectorcode","sectorname","industrycode","industryname","bselistedflag","nselistedflag","BSEStatus","NSEStatus"
"184","505714","GABRIEL","Gabriel India Ltd","Gabriel India","Company","INE524A01029","A","25178.18","Small Cap","MAN","00000004","Auto Ancillaries","00000023","Auto Ancillaries - Shock Absorbers","Y","Y","Active","Active"
"401","502168","NCLIND","NCL Industries Ltd","NCL Industries","Company","INE732C01016","B","785.47","Small Cap","MAN","00000011","Cement","00000047","Cement - Mini - South India","Y","Y","Active","Active"
"434","500680","PFIZER","Pfizer Ltd","Pfizer","Company","INE182A01018","A","22759.95","Small Cap","MAN","00000046","Pharmaceuticals","00000228","Pharmaceuticals - Multinational","Y","Y","Active","Active"
"514","500550","SIEMENS","Siemens Ltd","Siemens","Company","INE003A01024","A","139723.88","Large Cap","MAN","00000008","Capital Goods - Electrical Equipment","00000097","Electric Equipment - General - Large","Y","Y","Active","Active"
"601","504220","WSI","W S Industries (India) Ltd","W S Inds.","Company","INE100D01014","B","462.81","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000076","Construction - Civil / Turnkey - Medium / Small","Y","Y","Active","Active"
"674","504810","undefined","Informed Technologies India Ltd","Informed Techn.","Company","INE123E01014","X","33.36","Small Cap","SOFTWARE","00000034","IT - Software","00000334","IT Enabled Services / Business Process Outsourcing","Y","N","Active","Not Listed"
"819","513149","undefined","Acrow India Ltd","Acrow India","Company","INE950D01012","X","49.92","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"996","507852","ADDIND","Addi Industries Ltd","Addi Industries","Company","INE757C01021","B","94.85","Small Cap","MAN","00000062","Textiles","00000311","Textiles - Hosiery / Knitwear","Y","Y","Active","Active"
"1026","500171","GHCL","GHCL Ltd","GHCL","Company","INE539A01019","A","4075.4","Small Cap","MAN","00000014","Chemicals","00000053","Chemicals - Inorganic - Large","Y","Y","Active","Active"
"1142","523222","undefined","SRM Energy Ltd","SRM Energy Ltd","Company","INE173J01018","X","21.61","Small Cap","POWER","00000049","Power","00000243","Power Generation And Supply","Y","N","Active","Not Listed"
"1168","503776","MODIPON","Modipon Ltd","Modipon","Company","INE170C01019","X","41.33","Small Cap","MAN","00000051","Realty","00000076","Construction - Civil / Turnkey - Medium / Small","Y","N","Active","Delisted"
"1240","520081","ESTCSTSTEL","Eastcoast Steel Ltd","Eastcoast Steel","Company","INE315F01013","P","10.69","Small Cap","MAN","00000057","Steel","00000317","Trading - Medium / Small","Y","N","Active","Delisted"
"1258","511108","SHIVATEX","Shiva Texyarn Ltd","Shiva Texyarn","Company","INE705C01020","B","214.79","Small Cap","MAN","00000062","Textiles","00000292","Textiles - Spinning/Cotton/Blended Yarn - Ring Spg","Y","Y","Active","Active"
"1358","523011","WEIZMANIND","Weizmann Ltd","Weizmann","Company","INE080A01014","B","118.53","Small Cap","MAN","00000062","Textiles","00000303","Textiles - Texturising","Y","Y","Active","Active"
"1477","511012","undefined","Yamini Investment Company Ltd","Yamini Invest","Company","INE457N01025","XT","34.17","Small Cap","FIN","00000026","Finance","00000143","Finance - Investment / Others","Y","N","Active","Not Listed"
"1486","504176","undefined","High Energy Batteries (India) Ltd","High Energy Bat.","Company","INE783E01023","X","557.37","Small Cap","MAN","00000085","Aerospace & Defence","00000098","Electric Equipment - General - Medium / Small","Y","N","Active","Not Listed"
