"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"22992","878","19712","Nippon India Mutual Fund","Nippon India ETF Nifty 50 BeES","INF204KB14I2","Equity ETFs","Y","Y","Broad Market"
"23377","1198","3583","ICICI Prudential Mutual Fund","ICICI Prudential BSE Sensex ETF","INF346A01034","Equity ETFs","Y","Y","Broad Market"
"28036","4237","23411","UTI Mutual Fund","UTI - Gold Exchange Traded Fund","INF789F1AUX7","Commodity ETFs","Y","Y","Precious Metals"
"28235","4117","19712","Nippon India Mutual Fund","Nippon India ETF Gold Bees","INF204KB17I5","Commodity ETFs","Y","Y","Precious Metals"
"28237","5293","20327","Kotak Mahindra Mutual Fund","Kotak Gold ETF","INF174KA1HJ8","Commodity ETFs","Y","Y","Precious Metals"
"30117","7801","20327","Kotak Mahindra Mutual Fund","Kotak S&P BSE Sensex ETF","INF174KA1JD7","Equity ETFs","Y","N","Broad Market"
"30118","7961","27298","Quantum Mutual Fund","Quantum Nifty 50 ETF","INF082J01499","Equity ETFs","Y","Y","Broad Market"
"30120","6885","27298","Quantum Mutual Fund","Quantum Gold ETF","INF082J01408","Commodity ETFs","Y","Y","Precious Metals"
"30122","6202","20327","Kotak Mahindra Mutual Fund","Kotak Nifty PSU Bank ETF","INF174KA1A86","Equity ETFs","Y","Y","Banks"
"30123","6199","19712","Nippon India Mutual Fund","Nippon India ETF Nifty PSU Bank BeES","INF204KB16I7","Equity ETFs","Y","Y","Banks"
"30124","1996","19712","Nippon India Mutual Fund","Nippon India ETF Nifty Bank BeES","INF204KB15I9","Equity ETFs","Y","Y","Banks"
"30125","1222","19712","Nippon India Mutual Fund","Nippon India ETF Nifty Next 50 Junior BeES","INF732E01045","Equity ETFs","Y","Y","Broad Market"
"30126","1469","19712","Nippon India Mutual Fund","Nippon India ETF Nifty 1D Rate Liquid BeES","INF732E01037","Debt ETFs","Y","Y","Liquid / Overnight"
"33456","10292","19712","Nippon India Mutual Fund","Nippon India ETF Nifty 50 Shariah BeES","INF732E01128","Equity ETFs","Y","Y","Broad Market"
"34918","10451","6051","SBI Mutual Fund","SBI Gold ETF","INF200KA16D8","Commodity ETFs","Y","Y","Precious Metals"
"38363","10938","20327","Kotak Mahindra Mutual Fund","Kotak Nifty 50 ETF","INF174K014P6","Equity ETFs","Y","Y","Broad Market"
"38924","10998","19712","Nippon India Mutual Fund","Nippon India ETF Hang Seng Bees","INF204KB19I1","Global ETFs","Y","Y","Global Markets"
"38928","10962","27488","Invesco Mutual Fund","Invesco India Gold ETF","INF205KA1BP1","Commodity ETFs","Y","Y","Precious Metals"
"40420","11405","38442","Motilal Oswal Mutual Fund","Motilal Oswal M50 ETF","INF247L01536","Equity ETFs","Y","Y","Broad Market"
"40429","11395","21273","HDFC Mutual Fund","HDFC Gold ETF","INF179KC1981","Commodity ETFs","Y","Y","Precious Metals"
"40430","11418","3583","ICICI Prudential Mutual Fund","ICICI Prudential Gold ETF","INF109KC1NT3","Commodity ETFs","Y","Y","Precious Metals"
"40459","11603","19712","Nippon India Mutual Fund","Nippon India ETF Nifty Infrastructure BeES","INF732E01268","Equity ETFs","Y","Y","Infrastructure Developers & Operators"
"40488","11721","35448","Axis Mutual Fund","Axis Gold ETF","INF846K01W80","Commodity ETFs","Y","Y","Precious Metals"
"40549","12036","38442","Motilal Oswal Mutual Fund","Motilal Oswal Midcap 100 ETF","INF247L01023","Equity ETFs","Y","Y","Broad Market"
"40766","12425","38442","Motilal Oswal Mutual Fund","Motilal Oswal NASDAQ 100 ETF","INF247L01AP3","Global ETFs","Y","Y","Global Markets"
"41220","12656","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Gold ETF","INF209KB18D3","Commodity ETFs","Y","Y","Precious Metals"
"41282","12764","27488","Invesco Mutual Fund","Invesco India Nifty 50 ETF","INF205KA1CC7","Equity ETFs","N","Y","Broad Market"
"41361","13061","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty 50 ETF","INF209KB19D1","Equity ETFs","Y","Y","Broad Market"
"41429","13426","17424","LIC Mutual Fund","LIC MF Gold ETF","INF767K01SM1","Commodity ETFs","Y","Y","Precious Metals"
"43472","18312","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty ETF","INF109K012R6","Equity ETFs","Y","Y","Broad Market"
"43473","17907","6051","SBI Mutual Fund","SBI Sensex ETF","INF200K01VT2","Equity ETFs","Y","N","Broad Market"
"43474","17980","19712","Nippon India Mutual Fund","Nippon India ETF NIFTY 100","INF204K014N5","Equity ETFs","Y","Y","Broad Market"
"43790","19872","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty 100 ETF","INF109KC16V9","Equity ETFs","Y","Y","Broad Market"
"44412","25719","19712","Nippon India Mutual Fund","CPSE ETF","INF457M01133","Equity ETFs","Y","Y","Public Sector Enterprises"
"44493","25438","19712","Nippon India Mutual Fund","Nippon India ETF Nifty India Consumption","INF204KA1LD7","Equity ETFs","N","Y","FMCG"
"44536","25900","19712","Nippon India Mutual Fund","Nippon India ETF  Nifty Dividend Opportunities 50","INF204KA1MS3","Equity ETFs","N","Y","Broad Market"
"45943","28365","19712","Nippon India Mutual Fund","Nippon India ETF S&P BSE Sensex","INF204KA1UN7","Equity ETFs","Y","N","Broad Market"
"64930","29084","20327","Kotak Mahindra Mutual Fund","Kotak Nifty Bank ETF","INF174KA1ZB7","Equity ETFs","Y","Y","Banks"
